Date,I/O,tx_type,amount,amount_usd
2022-01-30 15:42:01 UTC,Output,Send,30 SCRT,$163.20
2022-01-26 15:06:06 UTC,Output,Send,1 SCRT,$6.55
2022-01-23 04:38:10 UTC,Output,Send,822.756734 SCRT,"$4,623.89"
2022-01-23 04:31:09 UTC,Input,Withdraw Commission,585.645118 SCRT,"$3,308.89"
2022-01-23 04:31:09 UTC,Input,Withdraw Rewards,0.337974 SCRT,$1.91
2022-01-06 22:51:24 UTC,Output,Send,1 SCRT,$6.19
2022-01-06 22:28:07 UTC,Input,Execute Contract,0 SCRT,$0.00
2022-01-06 22:26:50 UTC,N/A,Execute Contract,0 SCRT,$0.00
2022-01-01 05:15:41 UTC,N/A,Execute Contract,0 SCRT,$0.00
2022-01-01 05:14:05 UTC,N/A,Execute Contract,0 SCRT,$0.00
2021-12-31 02:19:06 UTC,N/A,Execute Contract,0 SCRT,$0.00
2021-12-31 02:17:40 UTC,N/A,Execute Contract,0 SCRT,$0.00
2021-12-31 02:13:40 UTC,Output,Execute Contract,0 SCRT,$0.00
2021-12-20 18:49:09 UTC,N/A,Execute Contract,0 SCRT,$0.00
2021-12-19 20:28:02 UTC,N/A,Execute Contract,0 SCRT,$0.00
2021-12-19 19:49:01 UTC,N/A,Execute Contract,0 SCRT,$0.00
2021-12-19 17:32:19 UTC,N/A,Execute Contract,0 SCRT,$0.00
2021-12-19 17:24:55 UTC,N/A,Execute Contract,0 SCRT,$0.00
2021-12-10 15:47:55 UTC,N/A,Execute Contract,0 SCRT,$0.00
2021-12-10 15:46:48 UTC,Output,Execute Contract,0 SCRT,$0.00
2021-12-09 16:48:44 UTC,N/A,Execute Contract,0 SCRT,$0.00
2021-11-11 19:09:39 UTC,N/A,Execute Contract,0 SCRT,$0.00
2021-11-11 19:07:57 UTC,Output,Execute Contract,0 SCRT,$0.00
2021-11-03 23:05:59 UTC,Input,Execute Contract,0 SCRT,$0.00
2021-11-02 01:24:20 UTC,Input,Execute Contract,0 SCRT,$0.00
2021-11-01 01:46:50 UTC,Output,Send,1 SCRT,$8.91
2021-11-01 01:45:32 UTC,Input,Execute Contract,0 SCRT,$0.00
2021-11-01 01:43:58 UTC,N/A,Execute Contract,0 SCRT,$0.00
2021-11-01 01:20:44 UTC,Input,Send,1 SCRT,$8.91
